Symptoms,Disease
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Varicose veins
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Arthritis
"itching, stomach pain, burning micturition, spotting  urination",Pneumonia
"pus filled pimples, blackheads, scurring,",Cervical spondylosis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Chicken pox
"itching, skin rash, stomach pain, burning micturition, spotting  urination",(vertigo) Paroymsal  Positional Vertigo
"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Drug Reaction
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Varicose veins
"fatigue, yellowish skin, nausea, loss of appetite, family history",Peptic ulcer diseae
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Hypothyroidism
"vomiting, headache, nausea, spinning movements, loss of balance",Hepatitis C
"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",Gastroenteritis
"skin rash, pus filled pimples, scurring,",Hypoglycemia
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Bronchial Asthma
"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain",Pneumonia
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Common Cold
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Common Cold
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Malaria
"itching, nodal skin eruptions, dischromic  patches,",Hypoglycemia
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Urinary tract infection
"muscle weakness, stiff neck, swelling joints, movement stiffness",Urinary tract infection
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",(vertigo) Paroymsal  Positional Vertigo
"vomiting, breathlessness, chest pain,",Hypothyroidism
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Allergy
"vomiting, headache, nausea, spinning movements, loss of balance",Urinary tract infection
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Varicose veins
"high fever, blister, red sore around nose, yellow crust ooze",Fungal infection
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Hypertension
"vomiting, headache, nausea, spinning movements, unsteadiness",Tuberculosis
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Hepatitis B
"vomiting, headache, spinning movements, loss of balance, unsteadiness",Dimorphic hemmorhoids(piles)
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Allergy
"breathlessness, sweating, chest pain,",Fungal infection
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Hepatitis D
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Pneumonia
"itching, skin rash, burning micturition, spotting  urination",Heart attack
"skin rash, pus filled pimples, scurring,",Psoriasis
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Dimorphic hemmorhoids(piles)
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Arthritis
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Bronchial Asthma
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Common Cold
"muscle wasting, patches in throat, high fever, extra marital contacts",Peptic ulcer diseae
"itching, skin rash, stomach pain, burning micturition",Paralysis (brain hemorrhage)
"stomach pain, acidity, ulcers on tongue, vomiting, cough",Typhoid
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Paralysis (brain hemorrhage)
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Impetigo
"skin rash, blackheads, scurring,",Osteoarthristis
"muscle weakness, swelling joints, movement stiffness, painful walking",Dimorphic hemmorhoids(piles)
"joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis E
"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Arthritis
"breathlessness, sweating, chest pain,",Psoriasis
"chills, vomiting, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis C
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypoglycemia
"itching, skin rash, stomach pain, burning micturition, spotting  urination",GERD
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",AIDS
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Psoriasis
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Varicose veins
"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Gastroenteritis
"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Chicken pox
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Heart attack
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Diabetes
"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Peptic ulcer diseae
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Drug Reaction
"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Malaria
"joint pain, neck pain, knee pain, hip joint pain, painful walking",GERD
"breathlessness, sweating, chest pain,",Urinary tract infection
